,,A,B,C,D,E,F,Bonus
2016,0,2,8,10,23,27,29,5
2016,1,1,12,34,43,45,47,27
2016,2,8,10,11,16,40,42,38
2016,3,6,10,23,28,37,41,18
2016,4,7,20,25,27,41,45,35
2016,5,1,7,9,27,35,42,44
2016,6,4,5,17,25,36,41,43
2016,7,30,36,37,39,43,44,13
2016,8,2,6,21,23,29,44,41
2016,9,1,5,24,34,39,41,20
2016,10,1,19,31,33,37,39,41
2016,11,3,8,20,27,28,39,14
2016,12,2,13,19,26,29,46,40
2016,13,12,14,27,31,37,42,30
2016,14,2,9,19,28,32,43,47
2016,15,2,15,18,30,33,40,6
2016,16,1,16,27,32,35,45,28
2016,17,13,27,36,39,41,46,16
2016,18,20,25,28,32,38,39,9
2016,19,11,21,22,27,30,43,8
2016,20,7,9,12,15,28,45,35
2016,21,2,11,24,28,37,47,35
2016,22,5,10,27,30,32,45,17
2016,23,4,6,9,20,29,45,32
2016,24,9,18,24,26,27,35,46
2016,25,4,17,22,40,42,46,11
2016,26,2,5,8,14,40,42,7
2016,27,1,2,20,27,32,38,3
2016,28,2,7,16,17,27,47,41
2016,29,2,19,31,40,43,46,5
2016,30,12,16,17,18,25,35,40
2016,31,6,7,15,17,20,45,19
2016,32,5,6,14,24,26,29,20
2016,33,1,2,10,25,38,41,15
2016,34,6,9,11,16,19,29,22
2016,35,8,14,16,34,35,42,13
2016,36,5,10,20,35,43,44,17
2016,37,10,17,18,29,37,43,46
2016,38,10,11,12,15,18,19,35
2016,39,3,16,29,30,41,43,9
2016,40,5,13,16,18,19,40,44
2016,41,6,11,17,20,28,34,25
2016,42,6,17,18,30,40,43,46
2016,43,11,14,15,27,29,37,44
2016,44,8,10,18,20,28,44,4
2016,45,2,4,5,27,40,47,43
2016,46,1,10,13,18,27,40,6
2016,47,22,35,36,41,44,45,3
2016,48,15,28,39,40,42,43,9
2016,49,6,9,17,33,44,47,37
2016,50,3,11,32,33,37,44,24
2016,51,4,5,9,12,29,38,22
2016,52,4,11,24,40,42,43,9
2016,53,7,10,16,40,44,45,33
2016,54,1,4,27,29,42,45,3
2016,55,6,16,23,28,32,35,4
2016,56,4,6,15,21,22,42,36
2016,57,10,15,18,20,32,46,5
2016,58,15,16,19,20,26,29,34
2016,59,1,10,15,18,30,44,28
2016,60,4,32,34,35,43,47,31
2016,61,1,15,31,42,44,47,7
2016,62,22,28,37,38,41,42,31
2016,63,16,18,27,31,39,45,44
2016,64,8,15,17,22,34,38,10
2016,65,4,8,12,15,25,40,47
2016,66,19,20,24,31,43,47,3
2016,67,3,8,14,18,37,41,34
2016,68,4,5,11,17,34,42,13
2016,69,2,28,34,36,45,46,9
2016,70,14,21,23,25,30,34,17
2016,71,2,5,17,27,34,45,4
2016,72,1,9,15,23,33,38,29
2016,73,4,5,7,14,18,31,28
2016,74,2,10,28,38,44,46,1
2016,75,1,9,16,34,37,46,31
2016,76,14,22,37,40,43,45,13
